左側距離,左前方距離,前方距離,右前方距離,右側距離
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
7.5,12.6,60.2,12.8,8.0
7.5,12.7,59.3,13.6,7.9
7.5,11.8,54.8,12.7,7.9
7.2,11.9,54.7,13.6,7.6
7.6,12.4,56.6,13.0,7.6
7.3,11.8,54.9,12.9,7.5
7.5,12.2,52.8,12.9,8.0
7.1,11.6,53.6,13.6,8.0
7.4,11.5,50.8,13.2,7.6
7.0,11.4,52.1,12.9,8.1
7.2,11.3,51.2,13.1,8.3
6.9,11.4,47.0,13.8,8.2
7.1,11.8,45.6,14.0,8.0
6.9,11.6,44.6,13.9,8.3
7.1,11.1,45.3,13.2,8.2
7.2,10.9,43.2,13.7,7.7
7.1,10.8,42.3,14.1,8.1
6.9,11.1,39.5,14.2,8.3
6.7,10.8,40.6,13.1,8.2
6.8,11.4,38.9,13.4,8.3
6.5,11.0,35.9,13.1,8.1
6.6,11.3,36.2,13.6,8.2
6.8,11.9,32.0,14.4,8.3
7.0,11.7,32.3,13.2,8.5
6.9,11.0,31.0,14.1,8.0
6.8,44.0,30.6,14.5,8.1
6.6,44.8,29.6,14.3,7.9
6.2,42.3,27.4,13.4,8.1
6.6,40.6,26.1,14.2,8.1
7.1,36.8,25.2,14.2,8.0
6.6,36.6,23.6,13.6,8.6
6.6,34.1,22.6,13.8,8.5
6.3,30.6,21.2,13.9,8.4
48.4,30.7,19.5,14.7,8.4
91.7,27.5,17.0,14.2,8.1
96.2,27.4,16.6,13.9,8.1
94.9,25.6,16.3,15.0,8.3
55.7,26.9,15.3,15.7,8.5
31.2,28.9,15.6,17.3,8.3
21.1,29.6,15.4,18.8,9.2
14.5,37.7,14.5,16.8,9.2
9.8,47.2,15.3,15.6,9.8
8.0,64.5,16.3,14.7,10.9
8.5,90.4,17.5,13.5,11.6
10.7,92.5,20.4,13.6,13.1
12.2,96.2,23.3,13.3,15.3
14.1,42.2,26.8,13.3,17.0
15.1,27.6,28.5,13.8,17.6
15.2,23.2,30.0,13.2,16.6
16.1,20.6,31.3,13.9,15.8
15.8,21.8,33.6,12.6,14.2
14.4,20.6,33.5,12.8,13.7
13.0,21.2,31.9,11.9,12.8
10.8,23.2,31.2,11.2,13.2
9.3,23.0,29.0,11.6,12.2
7.2,22.9,29.8,10.6,11.7
6.9,20.4,34.7,10.8,10.9
8.3,19.2,39.7,11.3,9.7
11.3,15.9,56.4,11.3,9.2
13.8,13.6,84.3,12.6,9.5
15.4,13.3,84.7,13.2,9.3
14.0,12.9,83.6,12.5,9.1
6.6,12.0,84.7,13.2,8.7
6.4,11.4,78.1,12.9,8.3
7.0,12.4,75.3,13.5,8.0
6.8,11.7,78.9,12.9,8.4
7.0,11.6,75.2,13.1,8.4
6.9,11.8,71.9,14.0,7.7
7.2,11.9,70.3,13.6,8.0
7.2,11.4,73.7,13.2,8.2
6.9,11.8,67.6,13.2,8.2
7.2,11.7,69.8,14.3,7.9
6.7,12.0,69.2,13.6,7.8
7.1,11.3,70.0,14.2,8.0
6.6,12.0,66.7,13.1,7.9
7.2,11.8,62.6,13.4,7.7
6.6,11.6,63.8,14.1,8.1
7.0,11.8,62.7,13.7,7.9
6.8,11.8,58.3,13.9,7.8
6.9,11.3,58.8,14.2,7.9
7.1,12.0,57.0,14.1,8.2
7.2,11.3,58.3,13.4,8.3
6.9,12.1,53.4,13.9,8.4
6.8,11.5,51.9,13.8,8.0
6.9,11.7,52.6,13.3,7.7
6.6,11.2,53.2,14.1,8.3
7.0,12.1,49.5,13.2,7.8
7.0,11.9,46.0,14.4,7.8
7.0,11.1,48.2,13.5,8.2
6.5,11.9,45.4,14.1,7.9
6.7,11.1,44.0,14.3,8.4
6.7,11.1,42.3,14.4,8.3
6.6,11.2,42.1,13.8,7.9
6.7,12.0,41.3,14.5,8.2
7.0,11.6,38.1,13.3,8.1
6.6,11.1,37.5,13.9,7.9
6.6,12.0,37.1,14.2,7.9
6.7,11.9,36.7,13.6,7.9
6.4,11.8,33.6,13.4,8.0
6.9,11.7,32.4,49.0,8.0
6.5,10.8,31.6,43.8,8.0
6.4,11.7,29.3,42.3,8.1
6.7,11.6,27.2,40.8,8.4
6.5,11.8,26.5,39.9,8.6
6.9,11.0,24.4,36.5,8.7
6.4,11.8,23.2,34.2,8.7
6.6,11.7,22.6,32.8,8.7
6.8,11.4,21.7,32.9,8.8
6.7,11.1,19.4,31.7,8.8
6.8,10.9,18.5,29.5,49.2
6.4,11.1,16.9,25.9,46.9
6.8,11.4,15.9,25.4,48.9
6.7,11.6,14.4,23.2,50.7
6.4,12.0,14.2,22.9,50.3
6.4,12.5,13.1,22.4,50.0
6.7,14.0,12.4,23.7,47.1
7.1,16.2,12.4,24.9,33.6
6.9,14.7,12.4,31.2,24.6
7.1,12.5,13.2,37.2,17.0
8.4,12.0,13.5,52.9,13.2
9.3,11.7,15.1,48.7,11.0
10.9,11.0,16.1,47.1,12.8
12.5,11.8,18.3,48.4,15.7
13.8,11.5,20.4,46.4,16.7
13.9,11.5,23.0,39.4,18.7
12.7,11.0,23.6,35.3,18.3
12.2,9.9,25.9,32.4,18.2
10.7,9.9,25.2,31.4,17.5
10.6,9.6,24.3,30.5,16.6
9.2,8.4,24.9,33.2,14.5
8.9,8.2,24.1,28.8,13.7
8.3,8.2,29.1,27.3,15.7
7.6,8.6,34.2,23.0,19.1
7.3,9.0,44.2,19.3,27.8
6.5,9.9,41.1,16.7,51.2
6.4,10.8,40.3,14.4,96.2
6.5,10.9,39.8,14.7,95.1
6.3,12.0,39.7,13.7,96.4
6.6,12.8,39.0,13.2,90.4
6.3,12.5,38.0,13.4,97.7
6.4,13.8,36.8,12.6,98.3
6.6,13.3,35.2,12.2,96.5
6.7,13.6,34.8,11.8,8.8
7.0,14.7,33.8,12.3,8.4
6.8,15.0,30.3,12.2,8.7
6.8,14.9,31.0,11.0,8.4
7.5,15.8,29.1,11.1,7.9
7.5,15.0,26.6,11.2,8.1
7.3,15.5,26.0,10.6,7.8
7.6,16.6,25.7,10.8,7.9
8.2,17.0,22.6,10.3,7.6
8.2,17.2,21.9,9.8,7.2
