玩家的x座標,玩家的y座標
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
20,260
21,260
21,260
21,260
21,260
21,260
21,260
21,260
21,260
21,260
21,260
21,260
21,260
21,260
21,260
21,260
21,260
21,260
21,260
21,260
21,260
21,260
21,260
21,260
21,260
21,260
21,260
21,260
21,260
21,260
21,257
21,254
21,251
21,248
20,245
20,242
20,239
19,236
19,233
18,230
17,227
17,224
16,221
15,218
15,215
14,212
13,209
12,206
11,206
10,206
9,206
9,206
8,206
7,206
7,206
6,206
6,206
6,206
6,206
5,206
5,206
5,206
5,206
5,206
5,206
5,206
5,206
5,206
5,206
5,206
5,206
6,206
6,206
6,206
6,206
6,206
6,206
6,206
6,206
6,206
6,206
6,206
6,206
6,206
6,206
6,206
6,206
6,206
6,206
6,206
6,206
6,206
6,206
6,206
6,206
6,206
7,206
7,206
7,206
7,206
7,206
7,206
7,206
7,206
7,206
7,206
7,206
7,206
7,206
7,206
8,206
8,206
8,206
8,206
8,206
8,206
8,206
9,206
9,206
9,206
9,206
9,206
9,206
10,206
10,206
10,206
10,206
10,206
11,206
11,206
11,206
11,206
12,206
12,206
12,206
13,206
13,206
13,206
14,206
14,206
14,206
15,206
15,206
15,206
16,206
16,206
17,206
17,206
17,206
18,206
18,206
19,206
19,206
20,206
20,206
21,206
22,206
22,206
23,206
23,206
24,206
25,206
25,206
26,206
26,206
27,206
28,206
29,206
29,206
30,206
31,206
32,206
32,206
33,206
34,206
35,206
36,206
36,206
37,206
37,206
38,206
39,206
39,206
40,206
40,206
41,206
41,206
42,206
43,206
43,206
44,206
44,206
45,206
46,206
46,206
47,206
47,206
48,206
49,206
49,206
50,206
50,206
51,206
51,206
52,206
53,206
53,206
54,206
54,206
55,206
56,206
56,206
57,206
57,206
58,206
59,206
59,206
60,206
60,206
61,206
62,206
62,206
63,206
63,206
64,206
64,206
65,206
66,206
66,206
67,206
67,206
68,206
69,206
69,206
70,206
70,206
71,206
72,206
72,209
72,212
73,215
73,218
74,221
74,224
75,227
75,230
76,233
76,236
77,239
77,242
77,245
78,248
78,251
79,254
79,254
80,254
81,254
81,254
82,254
82,254
83,254
83,254
84,254
85,254
85,254
86,254
86,254
87,254
88,254
88,254
89,254
89,254
90,254
91,254
91,254
92,254
92,254
93,254
94,254
94,254
95,254
95,254
96,254
96,254
97,254
98,254
98,254
99,254
99,257
100,260
100,263
101,266
101,269
102,272
102,275
102,278
103,281
103,284
104,287
104,290
105,293
105,296
106,299
106,302
106,305
107,308
107,311
108,314
108,314
109,314
110,314
110,314
111,314
111,314
112,314
113,314
113,314
114,314
114,314
115,314
116,314
116,314
117,314
117,314
118,314
118,314
119,314
120,314
120,314
121,314
121,314
122,314
123,314
123,314
124,314
124,314
125,314
126,314
126,314
127,314
127,314
128,314
128,314
129,314
130,314
130,314
131,314
131,314
132,314
133,314
133,314
134,314
134,314
135,314
136,314
136,314
137,314
137,314
138,314
139,314
139,314
140,314
140,311
141,308
141,305
142,302
142,299
142,296
143,293
143,290
144,287
144,284
145,281
145,278
146,275
146,272
146,269
147,266
147,263
148,260
148,260
149,260
150,260
150,260
151,260
151,260
152,260
153,260
153,260
154,260
154,260
155,260
155,260
156,260
157,260
157,260
158,260
158,260
159,260
160,260
160,260
161,260
161,260
162,260
163,260
163,260
164,260
164,260
165,260
165,257
166,254
166,251
167,248
167,245
168,242
168,239
169,236
169,233
169,230
170,227
170,224
171,221
171,221
172,221
173,221
173,221
174,221
174,221
175,221
175,221
176,221
177,221
177,221
178,221
178,221
179,221
180,221
180,221
181,221
181,221
182,221
183,221
183,221
184,221
184,221
185,221
186,221
186,221
187,221
187,221
188,221
188,221
189,221
190,221
190,221
191,221
