球的x座標,球的y座標,平台的x座標
90,391,75
83,384,75
76,377,75
69,370,75
62,363,75
55,356,80
48,349,85
41,342,90
34,335,95
27,328,100
20,321,105
13,314,110
6,307,115
0,300,120
7,293,115
14,286,110
21,279,105
28,272,100
35,265,95
42,258,90
49,251,85
56,244,80
63,237,75
70,230,70
77,223,65
84,216,60
91,209,65
98,202,70
105,195,75
112,188,80
119,181,85
126,174,90
133,167,95
140,160,100
147,153,100
154,146,100
161,139,100
168,132,100
175,125,100
182,118,100
189,111,100
190,104,100
183,97,100
176,90,100
169,83,100
162,76,100
155,69,100
148,62,100
141,60,100
134,67,100
127,74,100
120,81,100
113,88,100
106,95,100
99,102,100
92,109,100
85,116,95
78,123,90
71,130,85
64,137,80
57,144,75
50,151,80
43,158,85
36,165,90
29,172,95
22,179,100
15,186,105
8,193,110
1,200,115
0,207,115
7,214,115
14,221,115
21,228,115
28,235,115
35,242,115
42,249,115
49,256,115
56,263,120
63,270,125
70,277,130
77,284,135
84,291,140
91,298,145
98,305,150
105,312,155
112,319,160
119,326,160
126,333,160
133,340,160
140,347,160
147,354,160
154,361,160
161,368,160
168,375,160
175,382,160
182,389,160
189,390,160
190,383,160
183,376,160
176,369,155
169,362,150
162,355,145
155,348,140
148,341,135
141,334,130
134,327,125
127,320,120
120,313,115
113,306,110
106,299,105
99,292,100
92,285,100
85,278,100
78,271,100
71,264,100
64,257,100
57,250,100
50,243,100
43,236,100
36,229,100
29,222,100
22,215,100
15,208,95
8,201,90
1,194,85
0,187,80
7,180,80
14,173,80
21,166,85
28,159,90
35,152,95
42,145,100
49,138,105
56,131,110
63,124,115
70,117,120
77,110,125
84,103,130
91,96,130
98,89,130
105,82,130
112,75,130
119,68,130
126,61,125
133,60,120
140,67,115
147,74,110
154,81,105
161,88,100
168,95,95
175,102,95
182,109,95
189,116,95
190,123,95
183,130,95
176,137,95
169,144,95
162,151,95
155,158,95
148,165,95
141,172,95
134,179,95
127,186,95
120,193,95
113,200,95
106,207,90
99,214,85
92,221,80
85,228,75
78,235,70
71,242,65
64,249,60
57,256,55
50,263,50
43,270,45
36,277,40
29,284,35
22,291,35
15,298,35
8,305,35
1,312,35
0,319,35
7,326,35
14,333,35
21,340,35
28,347,35
35,354,35
42,361,35
49,368,35
56,375,35
63,382,35
70,389,40
77,390,45
87,383,50
97,376,55
107,369,60
117,362,65
127,355,70
137,348,75
147,341,80
157,334,85
167,327,85
177,320,85
187,313,85
190,306,85
180,299,85
170,292,85
160,285,85
150,278,85
140,271,85
130,264,85
120,257,85
110,250,85
100,243,85
90,236,85
80,229,85
70,222,85
60,215,85
50,208,85
40,201,85
30,194,85
20,187,85
10,180,85
0,173,85
10,166,85
20,159,85
30,152,85
40,145,85
50,138,85
60,131,85
70,124,85
80,117,85
90,110,85
100,103,85
110,96,85
120,89,85
130,82,85
140,75,85
150,68,85
160,61,85
170,54,85
180,47,85
190,40,85
180,33,85
170,26,85
160,19,85
150,12,85
140,5,85
130,0,85
120,7,85
110,14,85
100,21,85
90,28,85
80,35,85
70,40,85
60,33,85
50,26,85
40,19,85
30,12,85
20,5,85
10,0,85
0,7,85
10,14,85
20,21,85
30,28,85
40,35,85
50,40,85
60,33,85
70,26,85
80,19,85
90,12,85
100,5,85
110,0,85
120,7,85
130,14,85
140,21,85
150,28,85
160,35,85
170,42,85
180,49,85
190,56,85
180,63,85
170,70,85
160,77,85
150,84,85
140,91,85
130,98,85
120,105,85
110,112,85
100,119,85
90,126,85
80,133,85
70,140,85
60,147,85
50,154,85
40,161,85
30,168,85
20,175,85
10,182,85
0,189,85
10,196,85
20,203,85
30,210,85
40,217,85
50,224,85
60,231,85
70,238,85
80,245,85
90,252,90
100,259,95
110,266,100
120,273,100
130,280,100
140,287,100
150,294,100
160,301,100
170,308,100
180,315,100
190,322,100
180,329,100
170,336,100
160,343,100
150,350,100
140,357,100
130,364,100
120,371,100
110,378,100
100,385,100
90,390,100
83,383,95
76,376,90
69,369,85
62,362,80
55,355,75
48,348,70
41,341,65
34,334,60
27,327,55
20,320,55
13,313,55
6,306,55
0,299,55
7,292,55
14,285,60
21,278,65
28,271,70
35,264,75
42,257,80
49,250,85
56,243,85
63,236,85
70,229,85
77,222,85
84,215,85
91,208,85
98,201,85
105,194,85
112,187,85
119,180,85
126,173,85
133,166,85
140,159,85
147,152,85
154,145,85
161,138,85
168,131,85
175,124,85
182,117,85
189,110,85
190,103,85
183,96,85
176,89,85
169,82,85
162,75,85
155,68,85
148,61,85
141,54,85
134,47,85
127,40,85
120,33,85
113,26,85
106,19,85
99,12,85
92,5,85
85,0,85
78,7,85
71,14,85
64,21,85
57,28,85
50,35,85
43,42,85
36,49,85
29,56,85
22,63,85
15,70,85
8,77,85
1,84,85
0,91,85
7,98,85
14,105,85
21,112,85
28,119,85
35,126,85
42,133,85
49,140,85
56,147,85
63,154,85
70,161,85
77,168,85
84,175,85
91,182,85
98,189,85
105,196,85
112,203,85
119,210,85
126,217,85
133,224,85
140,231,85
147,238,85
154,245,85
161,252,85
168,259,85
175,266,85
182,273,85
189,280,85
190,287,85
183,294,85
176,301,85
169,308,85
162,315,85
155,322,85
148,329,85
141,336,85
134,343,85
127,350,85
120,357,85
113,364,85
106,371,85
99,378,85
92,385,85
85,390,80
75,383,75
65,376,70
55,369,65
45,362,60
35,355,55
25,348,50
15,341,45
5,334,40
0,327,35
10,320,35
20,313,35
30,306,35
40,299,35
50,292,35
60,285,35
70,278,35
80,271,35
90,264,35
100,257,35
110,250,35
120,243,35
130,236,35
140,229,35
150,222,35
160,215,35
170,208,35
180,201,35
190,194,35
180,187,35
170,180,35
160,173,35
150,166,35
140,159,35
130,152,35
120,145,35
110,138,35
100,131,35
90,124,35
80,117,35
70,110,35
60,103,35
50,96,35
40,89,35
30,82,35
20,75,35
10,68,35
0,61,35
10,54,35
20,47,35
30,40,35
40,33,35
50,26,35
60,19,35
70,12,35
80,5,35
90,0,35
100,7,35
110,14,35
120,21,35
130,28,35
140,35,35
150,42,35
160,49,35
170,56,35
180,63,35
190,70,35
180,77,35
170,84,40
160,91,45
150,98,50
140,105,55
130,112,60
120,119,65
110,126,70
100,133,75
90,140,80
80,147,85
70,154,90
60,161,90
50,168,90
40,175,90
30,182,90
20,189,90
10,196,90
0,203,90
10,210,90
20,217,90
30,224,90
40,231,90
50,238,90
60,245,90
70,252,90
80,259,90
90,266,90
100,273,90
110,280,95
120,287,100
130,294,105
140,301,105
150,308,105
160,315,105
170,322,105
180,329,105
190,336,105
180,343,105
170,350,105
160,357,105
150,364,105
140,371,105
130,378,105
120,385,105
110,390,105
103,383,100
96,376,95
89,369,90
82,362,85
75,355,80
68,348,75
61,341,70
54,334,65
47,327,65
40,320,65
33,313,65
26,306,65
19,299,65
12,292,70
5,285,75
0,278,80
7,271,85
14,264,90
21,257,95
28,250,100
35,243,105
42,236,105
49,229,105
56,222,105
63,215,105
70,208,105
77,201,105
84,194,105
91,187,105
98,180,105
105,173,105
112,166,105
119,159,105
126,152,105
133,145,105
140,138,105
147,131,105
154,124,105
161,117,105
168,110,105
175,103,105
182,96,105
189,89,105
190,82,105
183,75,105
176,68,105
169,61,105
162,54,105
155,47,105
148,40,105
141,33,105
134,26,105
127,19,105
120,12,105
113,5,105
106,0,105
99,7,105
92,14,105
85,21,105
78,28,105
71,35,105
64,42,105
57,49,105
50,56,105
43,63,105
36,70,105
29,77,105
22,84,105
15,91,105
8,98,105
1,105,105
0,112,105
7,119,105
14,126,105
21,133,105
28,140,105
35,147,105
42,154,105
49,161,105
56,168,105
63,175,105
70,182,100
77,189,95
84,196,90
91,203,90
98,210,90
105,217,90
112,224,90
119,231,90
126,238,90
133,245,90
140,252,90
147,259,90
154,266,90
161,273,90
168,280,90
175,287,90
182,294,95
189,301,100
190,308,105
183,315,105
176,322,105
169,329,105
162,336,105
155,343,105
148,350,105
141,357,105
134,364,105
127,371,105
120,378,105
113,385,105
106,390,105
99,383,105
92,376,105
85,369,105
78,362,105
71,355,105
64,348,105
57,341,105
50,334,105
43,327,105
36,320,105
29,313,105
22,306,105
15,299,105
8,292,105
1,285,105
0,278,105
7,271,105
14,264,105
21,257,105
28,250,105
35,243,105
42,236,105
49,229,105
56,222,105
63,215,105
70,208,105
77,201,105
84,194,105
91,187,105
98,180,105
105,173,105
112,166,105
119,159,105
126,152,105
133,145,105
140,138,105
147,131,105
154,124,105
161,117,105
168,110,105
175,103,105
